,time,lon,lat,no2,o3,so2,pm2.5,pm10,co,tmax,tmin,hum,opady,tysk,wind
41749,74,26.75,51.25,1.0172460079193115,68.42460632324219,0.4751880963643392,4.79413382212321,6.619608561197917,147.0197957356771,15.64,6.16,83.29,2.32,98.58,3.51
41750,75,26.75,51.25,1.5673014322916667,65.71188354492188,0.7639712492624918,5.867842356363933,7.144063313802083,145.09883626302084,17.84,9.61,88.14,6.2,98.41,3.12
41751,76,26.75,51.25,2.4646145502726235,62.807647705078125,1.7113827069600422,8.209486643473307,8.547295888264975,187.34468587239584,17.07,10.13,86.58,2.03,98.78,2.31
41752,77,26.75,51.25,1.4623015721638997,72.72003173828125,1.1561295986175537,7.797599792480469,8.890875498453775,151.5876668294271,21.15,8.15,83.24,2.01,98.88,2.78
41753,78,26.75,51.25,1.5794207255045574,61.6686757405599,0.7146218617757162,5.740609486897786,7.471455891927083,140.63868204752603,18.76,10.83,87.89,10.81,98.4,1.37
41754,79,26.75,51.25,1.381980260213216,59.05356852213541,0.3212565183639526,4.928297678629558,4.950225830078125,158.65668741861978,19.45,10.0,84.69,9.47,98.05,1.18
41755,80,26.75,51.25,1.1736979484558103,74.27507019042969,0.5241099198659261,5.02123514811198,5.568166097005208,158.8570556640625,14.53,10.13,83.76,2.43,98.43,4.56
41756,81,26.75,51.25,1.6075782775878906,69.86614990234375,0.7729371388753256,5.7599836985270185,6.451103210449219,156.3445027669271,16.9,9.06,79.86,0.86,98.81,3.87
41757,82,26.75,51.25,1.8453303972880049,78.33739725748698,1.1536273161570232,5.698886871337891,6.573223114013672,157.18364461263022,17.02,6.77,76.79,0.2,99.36,2.26
41758,83,26.75,51.25,1.371782938639323,84.31644694010417,1.8609108924865725,5.874755223592122,7.065067291259766,140.0604248046875,20.76,9.54,75.86,4.34,99.12,4.34
41759,84,26.75,51.25,1.6681620279947915,72.12465922037761,1.37215789159139,4.903453191121419,6.453378041585286,159.60943603515625,17.64,8.19,76.79,0.64,99.39,3.07
41760,85,26.75,51.25,1.3051470120747883,71.67420959472656,0.826791524887085,4.762200673421224,5.579699198404948,144.53978474934897,19.68,9.89,72.16,0.87,100.03,2.1
41761,86,26.75,51.25,0.7467657725016276,76.42917887369792,0.5198609034220377,5.090558369954427,6.479427337646484,133.16197713216147,21.29,11.28,73.72,0.82,99.7,4.69
41762,87,26.75,51.25,1.7757018407185872,72.40342712402344,1.68120272954305,5.267993927001953,6.582711537679036,153.2677205403646,19.91,11.15,68.61,0.64,99.73,2.7
41763,88,26.75,51.25,1.4729916254679365,71.89499918619792,0.7517011165618896,5.858773549397786,7.232184727986653,142.42959594726562,20.84,8.66,70.79,0.2,99.5,1.95
41764,89,26.75,51.25,1.323574463526408,72.32089233398438,1.0178626378377278,5.658982594807942,6.632255554199219,137.34908040364584,18.9,11.45,82.21,2.54,99.44,2.5
41765,90,26.75,51.25,1.2738258838653564,74.4797871907552,0.9603400230407716,6.433013280232747,6.993102391560872,148.8953653971354,17.37,9.22,77.01,0.61,99.39,2.73
41766,91,26.75,51.25,0.8286266326904297,60.08453369140625,0.2306884924570719,3.286729494730632,3.5716915130615234,144.20557657877603,14.14,9.13,91.76,13.57,99.5,2.82
41767,92,26.75,51.25,0.5598940849304199,58.39129638671875,0.3124978144963582,2.9615297317504883,3.352367083231608,118.01217651367188,15.77,7.49,76.77,0.55,99.81,2.08
42136,1,26.75,50.75,2.6045470237731934,53.13435363769531,0.6580004692077637,4.685599644978841,5.388292948404948,174.6368611653646,3.47,-0.94,93.52,0.87,100.45,2.76
42137,2,26.75,50.75,4.461764017740886,51.51274108886719,2.0321925481160483,12.928988138834637,15.224337259928385,197.01275634765625,5.5,-0.44,93.01,0.23,100.31,4.68
42138,3,26.75,50.75,4.808441162109375,49.85594177246094,2.1700568199157715,11.207146962483725,14.636414845784506,194.0918172200521,5.25,-1.94,90.4,0.12,100.23,2.53
42139,4,26.75,50.75,8.293158849080404,47.06142171223959,5.289853096008301,29.5672607421875,35.670633951822914,283.6827392578125,7.1,-0.8,94.85,0.31,98.81,4.18
42140,5,26.75,50.75,2.681314468383789,57.04987080891927,0.760040283203125,7.8511962890625,9.655519485473633,189.8707275390625,1.25,-4.07,89.76,2.64,98.97,2.49
42141,6,26.75,50.75,2.7865660985310874,66.5795389811198,1.4522444407145183,5.383261362711589,6.454459508260091,188.2630208333333,0.2,-5.82,85.36,0.21,99.94,3.33
42142,7,26.75,50.75,4.692701021830241,65.04096984863281,4.053338368733724,11.273946126302084,14.4541867574056,206.2276204427084,3.42,-4.09,85.24,0.29,99.13,6.29
